Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
EC,28/08/2026,19:45,Aldershot,Harrogate,3,1,H,3,0,H,T Sangowawa,,,9,11,4,6,9,24,7,5,1,3,0,0,2.7,3.75,2.1,2.88,3.5,2.2,2.9,3.5,2.15,2.87,3.3,2.1,2.8,3.5,2.15,2.8,3.4,2.15,2.9,3.75,2.2,2.85,3.54,2.14,3.1,3.75,2.3,1.65,2.2,1.65,2.25,1.61,2.19,1.7,2.3,0.25,1.85,1.95,1.85,1.95,1.83,1.88,1.91,2,2.7,3.75,2.1,2.88,3.5,2.2,2.88,3.5,2.15,2.87,3.3,2.1,2.9,3.3,2.1,2.9,3.25,2.1,3,3.75,2.2,2.88,3.5,2.14,3.25,3.7,2.32,1.65,2.2,1.67,2.25,1.63,2.17,1.78,2.18,0.25,1.85,1.95,1.85,1.95,1.82,1.89,1.95,2.01
EC,28/08/2026,19:45,Altrincham,Halifax,2,1,H,2,0,H,A Young,,,9,11,5,8,6,10,4,4,3,1,0,0,2.3,3.5,2.7,2.3,3.4,2.75,2.38,3.4,2.63,2.3,3.2,2.65,2.3,3.2,2.8,2.3,3.1,2.75,2.38,3.5,2.8,2.32,3.34,2.7,2.58,3.8,2.72,1.73,2.08,1.85,2.08,1.74,1.98,1.79,2.14,0,1.78,2.03,1.78,2.03,1.74,1.97,1.9,2.03,2.2,3.6,2.88,2.2,3.5,2.88,2.2,3.4,2.9,2.15,3.3,2.8,2.05,3.4,2.9,2.05,3.4,2.9,2.25,3.75,2.9,2.18,3.47,2.84,2.22,3.75,3.25,1.73,2.08,1.77,2.08,1.72,2.01,1.76,2.22,-0.25,1.95,1.85,1.95,1.85,1.9,1.81,1.95,1.99
EC,28/08/2026,19:45,Barrow,Yeovil,1,2,A,0,0,D,R Martin,,,15,7,9,4,15,13,9,3,1,3,0,0,2.05,3.4,3.25,2.05,3.25,3.4,2.05,3.2,3.4,1.98,3.1,3.4,2,3.25,3.4,2,3.1,3.3,2.05,3.4,3.5,2.03,3.22,3.39,2.18,3.4,3.9,2.15,1.67,2.15,1.7,2.1,1.66,2.24,1.74,-0.25,1.83,1.98,1.83,1.98,1.76,1.95,1.86,2.11,2.2,3.4,3,2.2,3.2,3.1,2.2,3.13,3.13,2.1,3.1,3.1,2.2,3,3,2.2,3,3,2.2,3.4,3.25,2.16,3.17,3.12,2.38,3.35,3.35,2.15,1.67,2.15,1.73,2.1,1.67,2.24,1.76,-0.25,1.95,1.85,1.95,1.85,1.88,1.83,2.04,1.9
EC,28/08/2026,19:45,Fylde,Forest Green,2,0,H,0,0,D,A Jackson,,,5,4,3,1,10,9,4,6,2,2,0,0,2.63,3.7,2.25,2.75,3.75,2.2,2.7,3.7,2.2,2.65,3.5,2.15,2.7,3.75,2.15,2.7,3.6,2.15,2.75,3.8,2.3,2.69,3.67,2.2,2.8,4,2.3,1.5,2.5,1.5,2.75,1.46,2.54,1.55,2.72,0.25,1.8,2,1.8,2,1.77,1.94,1.88,2.05,2.5,3.7,2.35,2.5,3.75,2.4,2.5,3.7,2.38,2.55,3.5,2.25,2.63,3.5,2.25,2.6,3.4,2.25,2.7,3.8,2.4,2.52,3.67,2.33,2.58,4,2.58,1.5,2.5,1.5,2.8,1.45,2.56,1.55,2.68,0,1.98,1.83,1.98,1.83,1.9,1.81,1.96,1.96
EC,28/08/2026,19:45,Gateshead,Sutton,0,1,A,0,0,D,G Rhodes,,,5,6,2,4,18,15,2,4,3,2,0,1,2.55,3.5,2.4,2.6,3.5,2.4,2.6,3.4,2.4,2.55,3.25,2.35,2.5,3.5,2.38,2.5,3.4,2.38,2.7,3.5,2.45,2.59,3.37,2.39,2.82,3.6,2.52,1.75,2.05,1.75,2.1,1.7,2.04,1.79,2.16,0,1.95,1.85,1.95,1.85,1.93,1.79,2.06,1.85,2.63,3.5,2.35,2.63,3.4,2.38,2.75,3.4,2.3,2.65,3.3,2.25,2.63,3.4,2.25,2.6,3.4,2.25,2.9,3.5,2.38,2.7,3.39,2.31,3.15,3.55,2.38,1.75,2.05,1.75,2.1,1.71,2.03,1.81,2.12,0.25,1.78,2.03,1.78,2.03,1.75,1.98,1.9,2.07
EC,28/08/2026,19:45,Hartlepool,Eastleigh,0,1,A,0,0,D,D Baines,,,7,9,1,5,23,10,5,6,4,1,1,0,1.7,3.7,4.2,1.73,3.6,4.2,1.7,3.6,4.4,1.72,3.4,4.1,1.67,3.5,4.5,1.67,3.4,4.5,1.75,3.7,4.5,1.72,3.53,4.25,1.8,3.8,4.9,1.85,1.95,1.85,1.95,1.79,1.91,1.89,2.02,-0.75,1.93,1.88,1.93,1.88,1.9,1.81,2.02,1.93,1.75,3.7,4,1.73,3.6,4.2,1.73,3.6,4.2,1.72,3.5,3.9,1.7,3.5,4,1.7,3.5,4,1.75,3.8,4.8,1.71,3.59,4.24,1.84,3.95,4.6,1.8,2,1.8,2,1.75,1.98,1.87,2.06,-0.5,1.8,2,1.8,2.05,1.71,2,1.84,2.17
EC,28/08/2026,19:45,Hornchurch,Woking,1,0,H,0,0,D,S Mulhall,,,7,10,3,1,12,7,5,5,2,2,0,0,2.3,3.4,2.7,2.3,3.4,2.8,2.3,3.3,2.8,2.2,3.2,2.8,2.2,3.3,2.8,2.2,3.25,2.75,2.35,3.4,2.8,2.27,3.32,2.76,2.46,3.5,2.92,1.85,1.95,1.85,1.95,1.81,1.9,1.9,2,-0.25,2.08,1.73,2.08,1.73,2.01,1.72,2.12,1.81,2.63,3.4,2.38,2.75,3.3,2.4,2.7,3.25,2.4,2.5,3.2,2.4,2.7,3.2,2.3,2.7,3.1,2.3,2.75,3.4,2.5,2.66,3.27,2.39,2.86,3.5,2.56,1.85,1.95,1.85,1.95,1.81,1.9,1.88,2.06,0,2.03,1.78,2.03,1.78,1.96,1.75,2.07,1.87
EC,28/08/2026,19:45,Scunthorpe,Solihull,3,1,H,1,1,D,J Westgate,,,10,8,5,5,11,6,9,8,1,2,0,0,1.73,3.9,4,1.73,3.75,4,1.73,3.8,4,1.68,3.7,3.9,1.67,3.8,4,1.67,3.75,3.8,1.75,3.9,4,1.71,3.77,3.94,1.85,4.2,4.1,1.57,2.35,1.58,2.4,1.57,2.28,1.66,2.4,-0.75,1.95,1.85,1.95,1.85,1.92,1.8,2.08,1.85,1.9,3.75,3.4,1.8,4,3.6,1.85,3.75,3.5,1.78,3.6,3.5,1.8,3.7,3.5,1.8,3.6,3.4,1.9,4,3.8,1.82,3.75,3.55,1.94,4.1,3.85,1.53,2.4,1.54,2.5,1.51,2.41,1.61,2.52,-0.5,1.93,1.88,1.93,1.96,1.81,1.89,1.95,2.01
EC,28/08/2026,19:45,Southend,Kidderminster,1,3,A,1,0,H,G Laflin,,,10,6,6,5,12,12,7,3,1,3,0,0,1.48,4.2,5.75,1.44,4.2,6.5,1.44,4.2,6.5,1.42,4.1,6,1.36,4.33,6.5,1.4,4.2,6,1.48,4.5,6.5,1.43,4.25,6.11,1.47,4.5,7.4,1.73,2.08,1.73,2.2,1.67,2.08,1.75,2.2,-1.25,2.05,1.75,2.05,1.75,1.98,1.74,2.03,1.9,1.53,4,5.25,1.53,4,5.5,1.5,3.9,5.75,1.49,3.9,5.25,1.5,3.8,5,1.53,3.75,4.8,1.57,4,5.75,1.52,3.91,5.32,1.62,4.2,5.7,1.75,2.05,1.75,2.1,1.71,2.04,1.84,2.14,-1,1.98,1.83,1.98,1.83,1.87,1.83,2.14,1.82
EC,28/08/2026,19:45,Tamworth,Worthing,3,2,H,0,1,A,J Robinson,,,17,8,9,2,15,12,8,3,4,4,0,2,2.15,3.5,2.9,2.1,3.75,2.88,2.15,3.6,2.88,2.1,3.5,2.8,2.05,3.6,2.88,2.05,3.5,2.8,2.15,3.8,2.9,2.11,3.59,2.85,2.28,3.9,2.88,1.53,2.4,1.55,2.5,1.52,2.38,1.58,2.58,-0.25,1.9,1.9,1.9,1.9,1.86,1.84,2,1.9,2.15,3.6,2.8,2.15,3.75,2.8,2.2,3.6,2.75,2.15,3.5,2.7,2.15,3.7,2.63,2.15,3.6,2.63,2.25,3.8,2.8,2.19,3.64,2.73,2.32,4.1,2.94,1.5,2.5,1.54,2.6,1.49,2.47,1.53,2.72,-0.25,1.95,1.85,1.95,1.85,1.92,1.79,2.06,1.93
EC,28/08/2026,19:45,Wealdstone,Carlisle,1,1,D,0,1,A,J Durkin,,,8,7,5,4,13,8,6,1,1,4,0,0,3.7,3.6,1.83,3.6,3.75,1.83,3.6,3.7,1.83,3.4,3.5,1.85,3.7,3.8,1.75,3.6,3.75,1.73,3.7,4,1.88,3.56,3.69,1.82,3.95,4.3,1.86,1.57,2.35,1.57,2.5,1.54,2.33,1.62,2.48,0.5,1.98,1.83,1.98,1.88,1.88,1.81,,,3.7,3.6,1.83,3.6,3.75,1.83,3.7,3.7,1.8,3.6,3.4,1.8,3.5,3.8,1.75,3.4,3.75,1.75,3.8,4,1.83,3.6,3.74,1.8,3.85,4.2,1.9,1.57,2.35,1.57,2.5,1.54,2.34,1.6,2.62,0.5,1.95,1.85,1.95,1.85,1.91,1.79,2.06,1.9
